courseCode,courseTitle,prefix,credits
4015,Applied Econometrics,ECON,3
4031,International Trade,ECON,3
4041,Financial Economics,ECON,3
4050,CopyrightX: The Economics of Copyright and Creativity,ECON,3
4051,Seminar on Economic Development and Policy in the Middle East,ECON,3
4061,Mathematical Economics,ECON,3
4081,Econometrics,ECON,3
4091,History of Economic Thought,ECON,3
4094,Economics of Egypt,ECON,3
4099,Seminar: Special Topics in Economics,ECON,3
5200,Independent Study,ECON,3
5201,Research Workshop,ECON,3
5202,Research Guidance and Thesis,ECON,6
5211,Advanced Microeconomic Theory,ECON,3
5213,Project Evaluation,ECON,3
5215,Competitive Strategy and Game Theory,ECON,3
5217,Health Economics in Developing Countries,ECON,3
5219,Health Care Financing,ECON,3
5221,Advanced Macroeconomic Theory,ECON,3
5231,Advanced International Trade,ECON,3
5233,International Finance,ECON,3
5241,Financial Economics,ECON,3
5242,Financial Econometrics,ECON,3
5251,The Economic Setting for Development,ECON,3
5252,Economic Development in Middle East Countries,ECON,3
5254,Economic Growth & Development,ECON,3
5256,Ethical Issues in Development,ECON,3
5257,Economic Strategies for Sustainable Development,ECON,3
5259,Research Practicum,ECON,3
5261,Mathematical Economics,ECON,3
5271,Labor Economics,ECON,3
5281,Time Series Econometrics,ECON,3
5282,Quantitative Methods,ECON,3
5291,An Advanced History of Economic Thought,ECON,3
5299,Advanced Topics in Economics,ECON,3
4690,Bioinformatics Capstone Seminar I,BIOL,1
4691,Bioinformatics Capstone Seminar II,BIOL,2
4910,Guided Studies in Biology,BIOL,NULL
4930,Selected Topics in Biology,BIOL,NULL
4980,Senior Research Thesis,BIOL,1
4981,Seminar in Biology,BIOL,2
5201,Biochemistry,BIOT,3
5202,Cell and Molecular Biology,BIOT,3
5203,Biotechnology,BIOT,3
5204,Experimental Biotechnology,BIOT,3
5205,Basics of Bioentrepreneurship,BIOT,3
5206,Fundamentals of Bioinformatics,BIOT,3
5207,Molecular Diagnosis,BIOT,3
5208,Molecular Genetics,BIOT,3
5210,Microbial Biotechnology,BIOT,3
5211,Bioengineering,BIOT,3
5271,Bionanotechnology,BIOT,3
5910,Independent Study In Biotechnology,BIOT,3
5930,Selected Topics in Biotechnology,BIOT,3
5980,Research Guidance and Thesis,BIOT,6
6204,Model Systems in Cancer Research,BIOT,3
6206,Computational Genomics and Transcriptomics,BIOT,3
6207,Systems and Computational Biology,BIOT,3
6930,Current Topics in Biotechnology,BIOT,3
6931,Reading and Conference Course,BIOT,3
6980,Research Guidance Dissertation,BIOT,3
2001,Introduction to Business,BADM,3
3002,International Business,BADM,3
3003,Business Environment and Ethics,BADM,3
4001,Business Planning and Strategy,BADM,3
4900,Graduation Project,BADM,3
4999,Internship and Assessment,BADM,0
5310,Strategic Management,BADM,3
5370,Business Seminar and Contemporary Topics in Management,BADM,3
5401,Business Consultancy,BADM,3
4000,Experiential Learning : CO-OP,BUSC,3
4101,Modern Standard Arabic,AIAS,4
4301,Egyptian Colloquial Arabic,AIAS,4
5121,"Reading, Writing And Vocabulary Building",AIAS,5
5151,Listening And Speaking,AIAS,3
5152,Academic Listening and Speaking,AIAS,3
5201,Advanced Translation,AIAS,3
5261,Advanced Media,AIAS,3
5271,Advanced Writing,AIAS,3
5301,Egyptian Colloquial Arabic,AIAS,3
5411,Advanced Egyptian Colloquial Arabic,AIAS,3
5601,CASA Students without Boarders,AIAS,3
5991,Selected Topics in Arabic,AIAS,3
1003,Chemistry and Society,CHEM,3
1004,Man and the Environment,CHEM,3
1005,General Chemistry I,CHEM,3
1006,General Chemistry II,CHEM,3
1015,General Chemistry Laboratory,CHEM,1
1016,General Chemistry Laboratory,CHEM,1
1930,Selected Topic for Core Curriculum,CHEM,3
2001,Egypt Water Crisis: Challenges and Solutions,CHEM,3
2003,Organic Chemistry I,CHEM,3
2005,Environmental Analytical Chemistry,CHEM,3
2006,Analytical Chemistry I,CHEM,2
2007,Chemical Industries,CHEM,3
2020,Introduction to Food Science and Technology,CHEM,3
3002,Archaeological Chemistry I,CHEM,3
3003,Thermodynamics,CHEM,3
3004,Physical Chemistry I,CHEM,3
3005,Principles of Chemical Modeling,CHEM,3
3006,Organic Chemistry II,CHEM,3
3009,Inorganic Chemistry I,CHEM,3
3010,Organic Chemistry I Laboratory,CHEM,1
3011,Analytical Chemistry II,CHEM,3
3013,Thermodynamics Laboratory,CHEM,1
3014,Physical Chemistry I Laboratory,CHEM,1
3015,Biochemistry,CHEM,3
3016,Organic Chemistry II Laboratory,CHEM,1
3018,Inorganic Chemistry Laboratory,CHEM,1
3020,Food Chemistry,CHEM,3
3025,Clinical Chemistry I,CHEM,3
3522,Production Basics for Chemical Industries,CHEM,3
3910,Guided Studies in Environmental Sciences,CHEM,3
3940,Seminar in Science and Technology,CHEM,1
4003,Physical Chemistry II,CHEM,3
4004,Physical Chemistry III,CHEM,3
4006,Organic Chemistry III,CHEM,3
4007,Food Processing and Preservation,CHEM,3
4008,Inorganic Chemistry II,CHEM,3
4013,Physical Chemistry II Laboratory,CHEM,1
4016,Organic Syntheses,CHEM,2
4025,Clinical Chemistry II,CHEM,3
4030,Advanced Practical Organic Chemistry,CHEM,3
4035,Advanced Organic Chemistry,CHEM,3
4040,Molecular Symmetry and Applications,CHEM,3
4524,Polymer Chemistry and Technology,CHEM,3
4910,Independent Study,CHEM,NULL
4930,Selected Topics in Chemistry,CHEM,NULL
4980,Senior Thesis I,CHEM,1
4981,Senior Thesis II,CHEM,2
5200,Environmental Physical Chemistry,CHEM,3
5201,Biochemistry,CHEM,3
5202,Organometallics,CHEM,3
